Presenter,Title,Conference,Year from,Year to,invited?,international?,comment
端山和大,突発天体からの重力波観測とその状況,～中性子星の観測と理論～　研究活性化ワークショップ,2019,,yes,no,-
端山和大,重力波天文学 ─観測技術とサイエンス─,応用物理学会九州支部学術講演会 ,2018,,yes,no,-
端山和大,宇宙の音を聞く天文学ー重力波天文学ーの始まり,天文教育普及研究会・2018年度九州支部会,2018,,yes,no,-
端山和大,宇宙の声を聞く天文学ー重力波天文学ーの始まり,宇宙を学べる大学in九州2018,2018,,yes,no,-
Kazuhiro Hayama,Status of KAGRA detector characterization,KAGRA F2F meeting,2018,,no,yes,-
Tomoya Takiwaki,Status of the supernova simulations with 3DnSNe-IDSA: Impact of EoS and Rotation,XIXth Workshop on Nuclear Astrophysics,2019,,no,yes,-
Tomoya Takiwaki,Signature of Collective Neutrino Oscillation in 8.8M_s star,Revealing the history of the universe with underground particle and nuclear research 2019,2019,,no,yes,-
Tomoya Takiwaki,Neutrino Radiation Hydrodynamic Simulation of an Ultra-stripped Type Ic Supernova,10th DTA symposium Stellar deaths and their diversity,2019,,no,yes,-
滝脇知也,超新星爆発の長時間計算と元素合成に向けて,「京からポスト京に向けて」シンポジウム,2019,,no,no,-
滝脇知也,ニュートリノ振動を考慮した.ニュートリノスペクトルの系統的研究,新学術地下素核研究会,2019,,yes,no,-
滝脇知也,Chiral Magnetic Effect in Proto-Neutron Stars, Spintronics: from electrons to quarks,2018,,yes,no,-
Tomoya Takiwaki,Recent Status of Core-collapse supernova Simulations from viewpoint of the microphysics,APS symposium Hawaii2018,2018,,no,yes,-
Tomoya Takiwaki,Supernova dynamics uncovered by three dimensional simulations,SNeGWv2018,2018,,yes,yes,keynote
Tomoya Takiwaki,Three-dimensional simulations of rapidly rotating core-collapse supernovae,IWARA2018,2018,,no,yes,-
滝脇知也,行き先は中性子星ー超新星の爆発機構と天体核物理への招待, 2018年度 第48回 天文・天体物理若手夏の学校,2018,,yes,no,-
Tomoya Takiwaki,Mechanism of Core-Collapse Supernovae and Expected Neutrino and Gravitational Wave Signals,2018 KPS spring meeting,2018,,yes,yes,-
